Archivo,Cambio,Funcionalidad,Bug (si/no),Posible fix
include/linux/rbtree_types.h,"Añade campo `int rb_num_nodes` a `struct rb_root`","Almacenar conteo de nodos en el árbol para soportar acceso por índice en O(n)","Si","El tipo `int` permite valores negativos (e.g. si rb_erase se llama sobre un nodo no insertado via rb_insert_color). Además el campo no se inicializa en la macro RB_ROOT ni RB_ROOT_CACHED, quedando con valor basura en árboles declarados estáticamente. Usar `unsigned int` o `u32`, e inicializar a 0 en las macros de inicialización."
lib/rbtree.c,"Incrementa `root->rb_num_nodes` en `rb_insert_color()` y decrementa en `rb_erase()`","Mantener el conteo sincronizado con las operaciones de inserción y borrado básicas","Si","Las variantes augmented y cached (`rb_insert_color_cached`, `rb_erase_cached`, `rb_insert_augmented`, `rb_erase_augmented`) NO llaman a `rb_insert_color`/`rb_erase` — tienen su propio flujo — por lo que el contador nunca se actualiza cuando se usan esas APIs. El scheduler CFS usa `rb_insert_color_cached`/`rb_erase_cached` (vía `rb_root_cached`), por lo que `rb_num_nodes` siempre será 0 en producción. Añadir el incremento/decremento también en esas rutas."
lib/rbtree.c,"Nueva función `rb_index()`: itera el árbol desde `root->rb_node` usando `rb_next()` para llegar al índice solicitado","Acceder a un nodo del árbol rojo-negro por posición ordinal","Si","Bug crítico de lógica: la función arranca desde `root->rb_node` (la raíz del árbol BST) y luego llama `rb_next()` `index` veces. Pero la raíz NO es el primer elemento en orden; `rb_next()` desde la raíz devuelve el sucesor inorder de la raíz, saltándose todo el subárbol izquierdo. `rb_index(root, 0)` devuelve la raíz en lugar del nodo mínimo. La función debe iniciar desde `rb_first(root)` para recorrer en orden correcto."
include/linux/rbtree.h,"Declaración `extern` de `rb_index()`","Exponer la nueva función como API pública del árbol rojo-negro","No","—"
kernel/sched/fair.c,"Nueva función `__pick_index_entity(cfs_rq, int index)` que llama a `rb_index()` sobre el árbol del runqueue","Seleccionar una entidad de scheduling por índice ordinal en el árbol CFS","Si","El parámetro es `int` pero se le pasa un valor de tipo `u64` (`index`) desde `pick_next_entity()`. Hay truncamiento implícito de u64 a int para índices > INT_MAX. Además hereda el bug de `rb_index()` (raíz incorrecta). Cambiar el parámetro a `unsigned long` o `u64` y corregir `rb_index()`."
kernel/sched/fair.c,"Exportación de cuatro variables globales: `cfs_mlp_infer_hook`, `cfs_mlp_infer_max_tasks`, `cfs_mlp_infer_features`, `cfs_mlp_infer_task_count`","Permitir que un módulo externo (modelo ML) registre un hook y buffers compartidos para influir en la selección de la próxima tarea CFS","Si","El hook se verifica con `READ_ONCE` pero se invoca sin ninguna protección posterior (sin RCU, sin lock). Entre la verificación `if (READ_ONCE(cfs_mlp_infer_hook))` y la llamada efectiva `cfs_mlp_infer_hook(...)`, otro CPU puede haber puesto el puntero a NULL, provocando null pointer dereference. Usar `rcu_dereference` / `rcu_read_lock` o hacer una copia local antes de la verificación: `func = READ_ONCE(cfs_mlp_infer_hook); if (func) func(...)`."
kernel/sched/fair.c,"Llenado del buffer `cfs_mlp_infer_features` en `pick_next_entity()`: 20 cabeceras fijas + 2 campos por tarea (pid, vruntime)","Construir el vector de features para la inferencia ML a partir del runqueue actual","Si","(1) El buffer es global y compartido entre todos los CPUs sin sincronización, con un FIXME del propio autor. En SMP, dos CPUs pueden escribir simultáneamente generando datos corruptos. (2) No hay verificación del tamaño del buffer: se escribe en `mlp_features[20 + mlp_task_count*2 + 1]` sin saber el tamaño real asignado; si `mlp_max_tasks` es mayor que el buffer, hay out-of-bounds write. (3) `rq->nr_running` puede cambiar entre la guarda y el llenado del loop. Solución: usar per-CPU buffers o un spinlock; pasar el tamaño del buffer junto con el puntero."
kernel/sched/fair.c,"Fallback en `pick_next_entity()`: si el hook retorna un índice pero `__pick_index_entity` devuelve NULL, retorna `curr`","Manejar el caso donde el índice ML es inválido o está fuera de rango","Si","Retornar `curr` es incorrecto: `curr` puede ser NULL (es un parámetro opcional), y retornarlo fuerza que la tarea actual continúe en lugar de dejar al CFS elegir normalmente. Si la inferencia falla, se debería hacer fallthrough al algoritmo normal de CFS (`__pick_first_entity` / comparación con `curr`), no retornar `curr` ciegamente."
kernel/sched/fair.c,"`pr_info(\"Inference returned %ul\\n\", index)` donde `index` es de tipo `u64`","Log del índice devuelto por la inferencia ML","Si","El especificador de formato `%ul` es incorrecto para `u64`. En arquitecturas de 32 bits imprimirá solo los 32 bits bajos. Usar `%llu` (o `PRIu64` con `<linux/printk.h>`)."
kernel/sched/fair.c,"`mlp_features[i] = 0.0` para inicializar un array de tipo `u64 *`","Poner a cero las primeras 20 posiciones del buffer antes de llenarlo","No","El literal `0.0` (double) se convierte implícitamente a 0 sin pérdida, pero es semánticamente erróneo para un array de enteros. No es un bug en tiempo de ejecución pero sí confuso; debería ser `0ULL` o simplemente `0`."
scripts/link-vmlinux.sh,"Añade flag `--skip_encoding_btf_enum64` para pahole >= 124","Evitar error de compilación con versiones nuevas de pahole que cambiaron el manejo de enum64 en BTF","No","La indentación del bloque añadido usa espacios en lugar de tabuladores, inconsistente con el resto del script. No es un bug funcional pero rompe el estilo del archivo."
